	MUMSA  GA DE GA-DE  BAS
r_1	31.788264	28.77133	35.02074	13.2516	19.49208098
r_2	8.2046468	5.00000	6.404196	5.94078	6.26447164
r_3	24.932131	35.36548	31.60722	58.3118	20.10016307
r_4	31.385926	59.13681	50.59949	53.7207	19.02191610
r_p	37.108246	14.85037	46.461261	61.301156	39.85380475
¦È_p	0.398977	1.570796	1.1065439	-1.300260	0.36796604
¦È_0	4.015959	5.287474	0.00000	0.196076	4.42456188
x_0	-6.366519	29.91329	60.0000	-35.3621	-13.03007150
y_0	56.83676	32.60228	18.07791	36.7704	51.17966664
¦È_2^1	1.366547	6.283185	6.283185	1.66015	5.96998189
¦È_2^2	2.330773	0.318205	0.264935	2.04684	0.45549951
¦È_2^3	2.871039	0.638520	0.500377	2.42811	1.02027071
¦È_2^4	3.394591	0.979950	0.735321	2.80901	1.55506958
¦È_2^5	3.97096	1.412732	0.996529	3.19009	2.11174091
¦È_2^6	4.96349	2.076254	1.333549	3.57379	2.88392482
Error	2.057e-3	1.101697	0.122738	1.72075e-5	1.24054644e-5
